tender_id,card_id,status,files_count,name_cont,ref_cont,customer_cont,distinctive_tokens,suspect_files,name
"0361200015025003611","87256001","ok","2","1","0.796","0.167","31","","Оказание услуг по адаптации прикладного программного обеспечения подсистемы ""Медицинская информационная подсистема"" и подсистемы СППВР с тех"
"0337100017725000076","86876975","ok","2","1","0.624","1","7","","Передача неисключительных прав на использование комплекта программного обеспечения Puzzle RPA с компонентой GPT"
"0801500001125000909","86584624","ok","7","1","0.749","1","14","","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения реги"
"0101500000325000150","86439677","ok","5","1","0.783","0.75","14","","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения реги"
"86029633","86029633","ok","4","1","0.805","1","18","derived-2-001-prilozhenie-n3-k-izvescheniyu-trebovaniya-k-soderzhaniyu-i-sostavu-zayavki-to-ais-.docx.txt","Оказание услуг по сопровождению подсистем информационно-аналитической системы для автоматизации деятельности регионального оператора «АИС ГО"
"0373200018825000757","85946041","ok","5","1","0.724","0.846","17","derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Поставка аппаратно-программного комплекса, устанавливаемого на транспортные средства, для выявлений нарушений в сфере жилищно-коммунального "
"0811500001125000038","85826306","ok","8","1","0.785","1","9","","Модернизация государственной информационной системы Республики Татарстан «Цифровые услуги Республики Татарстан» в целях обеспечения ее машин"
"0373200018825000735","85790126","ok","7","1","0.833","0.923","17","derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Поставка аппаратно-программного комплекса, устанавливаемого на транспортные средства, для выявлений нарушений в сфере жилищно-коммунального "
"0187300015625000041","85676672","ok","4","1","0.735","0.75","12","","Оказание услуг по развитию и обеспечению функционирования нейронной сети помощи гражданам, официальных ресурсов органов местного самоуправле"
"0801500001125000645","85641504","ok","11","1","0.725","0.714","14","derived-2-001-1-mesta-ustanovki0.docx.txt ; derived-2-005-3_akt-teh.-sosotyaniya2.docx.txt","Выполнение работ по содержанию системы автоматической фотовидеофиксации нарушений Правил дорожного движения и распознавания изображения реги"
"0190200000325004998","85622853","ok","2","1","0.135","0.571","18","","Оказание услуг по предоставлению неисключительных прав использования программного обеспечения интеллектуального видеомониторинга, превентивн"
"0373200082125000095","84767045","ok","7","1","0.854","0.429","10","derived-2-001-prilozhenie-4-k-tehnicheskomu-zadaniyu.docx.txt ; derived-2-001-prilozhenie-6-k-tehnicheskomu-zadaniyu.docx.txt ; derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей"
"84769403","84769403","ok","8","1","0.854","1","10","derived-2-001-prilozhenie-4-k-tehnicheskomu-zadaniyu.docx.txt ; derived-2-001-prilozhenie-6-k-tehnicheskomu-zadaniyu.docx.txt ; derived-2-001-v_pomosch_uchastnikam_zakupok.pdf.txt","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей"
"0373100084725000002","84440644","ok","2","1","0.81","0.6","9","","Оказание услуг предоставления доступа к облачной отказоустойчивой платформе для вычислений, хранения и обработки данных"
